分类,题干,A,B,C,D,E,正确答案,解析
临床科目,"萨摩耶⽝，半岁，左眼视⼒障碍，触诊眼球硬实、突出；⾓膜⽔肿，瞳孔圆形散⼤，呈绿⾊，失
去对光反应。滴⼊缩瞳剂瞳孔⽆变化。该⽝可能患有（ ）。",青光眼,⾓膜炎,虹膜炎,结膜炎,⽩内障,A,"标准答案：A
出处：押题1.pdf
解析：青光眼是由于眼房⾓阻塞，眼房液排出受阻致眼内压增⾼所致的疾病，可发⽣于⼀眼或两眼。青光
眼检查时可不见炎症病状，表现为眼内压增⾼，眼球增⼤，视⼒⼤为减弱，虹膜及晶状体向前突
出，从侧⾯观察可见到⾓膜向前突出，眼前房缩⼩，瞳孔散⼤，失去对光反射能⼒；滴⼊缩瞳剂
（如1%～2%⽑果芸⾹碱溶液）时，瞳孔仍保持散⼤或者收缩缓慢，但晶状体没有变化。"
临床科目,"博美⽝，5岁，雌性，多年来⼀直饲喂⾃制⽝⾷，以⾁为主，近⽇虽然⾷欲正常，但饮欲增加，
排尿频繁，每次尿量减少，偶见⾎尿，腹部超声探查可见膀胱内有绿⾖⼤的强回声光斑及其远场声
影。该⽝所患的疾病是（ ）。",尿崩症,膀胱结⽯,尿道炎,肾功能衰竭,肾炎,B,"标准答案：B
出处：押题1.pdf
解析：本病为膀胱结⽯。结⽯⼩时，不出现临诊症状。当结⽯⼤⽽多时，刺激膀胱黏膜，出现频频排尿，
努责、排尿困难，⾎尿。当膀胱不太充满时，可摸及到内有移动感的结⽯块。超声对结⽯的诊断有
重要意义，可见膀胱内有绿⾖⼤的强回声光斑及其远场声影。"
临床科目,"奶⽜，摔倒后，左前肢⽀跛明显，前臂上部弯曲，运动有⾻摩擦⾳，患部肿胀，⽪肤⽆可见损
伤，⽆明显的全⾝症状。本病最可能的诊断是（ ）。",肘关节脱位,肩关节脱位,腕关节脱位,⾻裂,闭合性⾻折,E,"标准答案：E
出处：押题1.pdf
解析：四肢⾻⾻折的临诊特征为：①肢体变形；②异常活动；③⾻摩擦⾳；④出⾎与肿胀；⑤疼痛；⑥功
能障碍；⑦全⾝症状⼀般不明显。又根据“⽪肤⽆可见损伤”，可诊断为闭合性⾻折。"
临床科目,"某蛋鸡场饲喂蛋⽩质含量为35%的⾃配饲料，出现产蛋下降和停产等问题，经检查⾎液中尿酸⽔
平为30mg/dL。该鸡群最可能发⽣的疾病是（ ）。",笼养蛋鸡疲劳症,维⽣素B 1缺乏症,维⽣素A缺乏病,蛋鸡脂肪肝综合征,痛风,E,"标准答案：E
出处：押题1.pdf
解析：家禽痛风是由于蛋⽩质代谢障碍和肾脏受到损伤使尿酸盐在体内蓄积⽽致的营养代谢障碍性疾病；
⾎液中尿酸⽔平持久增⾼⾄15mg/dL以上，甚⾄可达每40mg/dL。其病理特征是⾎液中尿酸盐⽔平增
⾼，⼫体剖检时见到关节表⾯内脏表⾯有⼤量⽩⾊尿酸盐沉积。患病的母鸡产蛋量降低，甚⾄完全
停产。"
临床科目,"⼀⾁⽜场其中的⼀只⽜，早晨发现⼀侧眼睛羞明、流泪，眼分泌物量多，两天后分泌物为脓性并
粘在患眼的睫⽑上。经检查发现，⾓膜中央轻度浑浊，呈微黄⾊，⾓膜周边可见新⽣的⾎管。经10
天后另⼀侧眼睛表现同样症状，此病例疑似为（ ）。",⾓膜炎,结膜炎,传染性⾓膜炎,传染性⾓膜结膜炎,虹膜和巩膜发炎,D,"标准答案：D
出处：押题1.pdf
解析：⽜传染性⾓膜结膜炎是⼀种⾼度接触性传染性眼病，流⾏于青年⽜和犊⽜中，未曾感染过的成年⽜
也可感染，该病通常先侵害⼀眼，然后侵及另⼀眼，两眼同时发病的较少。其症状为：羞明、流
泪、眼睑痉挛和闭锁、局部增温，出现⾓膜炎和结膜炎，眼分泌物量多，初为浆液性，后为脓性并
粘在患眼的睫⽑上。发病初期⾄48h内⾓膜出现变化，开始时，⾓膜中央出现轻度浑浊，⽤荧光素点
眼，稍能着染，⾓膜（尤其中央）呈微黄⾊，⾓膜周边可见新⽣的⾎管。"
临床科目,某猪群在多⾬季节，因饲喂存储不当的配合饲料⽽发⽣中毒性疾病。该病最可能是（ ）。,菜籽饼中毒,亚硝酸盐中毒,棉籽饼中毒,黄曲霉毒素中毒,氢氰酸中毒,D,"标准答案：D
出处：押题1.pdf
解析：黄曲霉毒素中毒⼀年四季均可发⽣，但在多⾬季节，温度和湿度又⽐较适宜时多发；饲料若加⼯、
贮藏不当，更易被黄曲霉菌所污染，可使动物黄曲霉毒素中毒的发⽣率增加。"
临床科目,"⼀8岁德国牧⽺⽝，体重10kg，常年以⾁类为主⾷，腹部松弛，⾏⾛⽆⼒，运步蹒跚，全⾝出现
左右对称的脱⽑，⾝上有异味，且⽪厚且苔藓化，表⾯有⼤量的结痂，应诊断为（ ）。",甲状腺机能减退⽪肤病,细菌性⽪肤病,真菌性⽪肤病,寄⽣⾍性⽪肤病,脓⽪症,A,"标准答案：A
出处：押题1.pdf
解析：⽝患甲状腺机能减退性⽪肤病时，四肢和头部⼀般不掉⽑，脱⽑区主要在颈部、背部、胸腹两侧，
少见四肢脱⽑。被⽑粗糙、⽆光泽，⼲燥稀疏并变脆，对称性脱⽑或⿐梁部脱⽑，常有异味（细菌
感染）。脱⽑处⽪肤可见⾊素过度沉着、增厚⽽苔藓化，⽪温低，⽪屑多，甚⾄出现变态性⽪肤
病；⽪肤可因黏蛋⽩沉积、⽔肿⽽变厚。"
临床科目,"⼀成年母马，在⼭区放牧时，被灌⽊丛刮伤腹部，送诊时由于时间延误太久，该马精神沉郁，中
度脱⽔，部分肠管脱出体外，污染严重，清洗后发现肠管淤⾎严重，并有⼤量积液，蠕动消失。此
时应采取的合理的急救措施为（ ）。",⽴即⼿术，对淤⾎坏死肠管切除⾏肠管端端吻合术，同时补充体液,建议主⼈淘汰,只对脱出肠管进⾏清理，让其⾃⼰复位,对脱出肠管清理后还纳腹腔,保守治疗，待病马情况稳定后再⾏⼿术,A,"标准答案：A
出处：押题1.pdf
解析：对肠管脱出的腹壁透创应根据其脱出的时间和损伤的程度⽽选择治疗⽅法。①若肠管没有损伤，⾊
彩接近正常，仍能蠕动，可⽤温热灭菌⽣理盐⽔或含有抗⽣素的溶液冲洗后送回腹腔。②若肠管因
充⽓或积液⽽整复困难时，可穿刺放⽓、排液。③对坏死肠管或已暴露时间较长，缺乏蠕动⼒，即
使⽤灭菌⽣理盐⽔纱布温敷后也不能恢复蠕动者，则应考虑作肠部分切除术，再进⾏肠管端端吻
合。"
临床科目,"⼀3岁公⽝，受到⼀摩托车撞击后，出现坐式呼吸且呼吸困难、黏膜发绀，肺⾳、⼼⾳听诊不
清；触诊腹部有痛感，应诊断为（ ）。",膈疝,腹部外伤,胸腔出⾎,⽓胸,肋⾻⾻折,A,"标准答案：A
出处：押题1.pdf
解析：膈疝是腹腔内⼀种或⼏种内脏器官通过膈的破裂孔进⼊胸腔。⽝膈肌破裂后涌⼊胸腔的腹内脏器以
胃、⼩肠和肝较多见。其症状与膈破裂的程度、疝内容物的类别及其量的多少有关。如⼼脏受压则
引起呼吸困难、⼼⼒衰竭、黏膜发绀，肺⾳、⼼⾳听诊不清；胃肠脱⼊可听到肠⾳；箝闭后可引起
急性腹痛，肝脏箝闭可引起急性胸⽔和黄疸。患⽝呈坐式呼吸。"
临床科目,可初步诊断该瘤为（ ）。,乳头状瘤,基底细胞瘤,⾓鳞状细胞瘤,⿊⾊素瘤,⽪肤鳞状细胞瘤,A,"标准答案：A
出处：押题1.pdf
解析：乳头状瘤的外形，上端常呈乳头状或分⽀的乳头状突起，表⾯光滑或凹凸不平，可呈结节状与菜花
状等，瘤体可呈球形、椭圆形，⼤⼩不⼀，⼩者⽶粒⼤，⼤者可达数⽄，有单个散在，也可多个集
中分布。⽪肤的乳头状瘤，颜⾊多为灰⽩⾊、淡红或⿊褐⾊。瘤体表⾯⽆⽑，时间经过较久的病例
常有裂隙，摩擦易破裂脱落。其表⾯常有⾓化现象。发⽣于黏膜的乳头状瘤还可呈团块状，但黏膜
的乳头状瘤则⼀般⽆⾓化现象。瘤体损伤易出⾎。"
临床科目,对于该肿瘤描述不正确的是（ ）。,传播媒介是虹吸昆⾍或接触传染,该病感染后，潜伏期为3～4个⽉,易传播给其他动物,易感性不分品种和性别,发病率最⾼，病原为BPV,C,"标准答案：C
出处：押题1.pdf
解析：A项，传播媒介是吸⾎昆⾍或接触传染。B项，该病感染后，潜伏期为3～4个⽉，其好发部位为家畜
的⾯部、颈部、肩部和下唇，尤以眼、⽿的周围最多发；成年母⽜的乳头、阴门、阴道有时发⽣；
雄性可发⽣于包⽪、阴茎、⻳头部。CE两项，⽜乳头状瘤，发病率最⾼，病原为⽜乳头状瘤病毒
（BPV），具有严格的种属特异性，不易传播给其他动物。D项，易感性不分品种和性别，其中以2
岁以下的⽜最多发。"
临床科目,对该病进⾏治疗，应采取的主要措施是（ ）。,放射疗法,化学疗法,⼿术切除,免疫疗法,疫苗注射,C,"标准答案：C
出处：押题1.pdf
解析：采⽤⼿术切除，或烧烙、冷冻及激光疗法是治疗乳头状瘤的主要措施。
（74～75题共⽤题⼲）
北京⽝，已免疫，发病2天，精神沉郁，⾷欲不振，粪臭、⾊淡。眼结膜黄染，肝浊⾳区扩⼤，触诊
疼痛。腹部X线检查显⽰肝区明显超出最后肋。"
临床科目,⾎液检查⾸选（ ）。,肝功能检查,⼼肌损害指标,肾功能检查,胰脏损害指标,⾎常规检查,A,"标准答案：A
出处：押题1.pdf
解析：根据病⽝的症状及体征，考虑诊断为黄疸，故应⾏肝功能检查以进⼀步确诊。"
临床科目,⾎清酶检查，⽆诊断意义的指标是（ ）。,γ-⾕氨酰转移酶,丙氨酸氨基转移酶,碱性磷酸酶,天门冬氨酸氨基转移酶,肌酸激酶,E,"标准答案：E
出处：押题1.pdf
解析：ABCD四项，均属于肝酶检查，能反映肝功能的正常与否。E项，肌酸激酶属于肌损害检查指标，尤
其⽤于⼼肌损害时的排查。
（76～77题共⽤题⼲）
⼀⽜出现排粪次数增多，粪便稀薄，甚⾄出现拉稀，泻粪如⽔。"
临床科目,"若此⽜饮⽔增多，腹内肠鸣，不时作泻，粪渣粗⼤，或完⾕不化，⾆⾊淡⽩，⾆⾯⽆苔，脉象弛
缓，后期出现⽔湿下注，四肢浮肿。可采⽤以下哪个⽅剂治疗？（ ）",猪苓散,郁⾦散,保和丸,槟榔散,补中益⽓汤,E,"标准答案：E
出处：押题1.pdf
解析：根据该⽜的症状，辨证为泄泻之脾虚泻。脾阳不振，脾胃运化功能失职，⽆⼒腐熟⽔⾕，发为泄
泻，粪渣粗⼤或完⾕不化；脾虚⽣湿，清浊不分，⼩肠津液亏虚，则饮⽔增多，不时作泻；湿邪泛
于肌肤，则四肢浮肿；⾆淡⽩、⽆苔，脉弛缓均为⽓虚之象。故辨证为脾虚泻，治宜补脾益⽓，健
脾运湿。可采⽤参苓⽩术散或补中益⽓汤加减，或针治百会、脾俞、关元俞等⽳。"
临床科目,"若⽜出现腰胯⽆⼒，卧多⽴少，久泻不愈，夜间泻重，严重者肛门失禁，粪⽔外溢，腹下或后肢
浮肿，⼜⾊如绵，脉象徐缓。可采⽤以下哪组针灸⽳位进⾏治疗？（ ）",后海、后三⾥、尾根、百会、脾俞,后海、后三⾥、百会、⼤椎,蹄头、脾俞、后三⾥、关元俞,带脉、尾本、后三⾥、⼤肠俞,百会、脾俞、关元俞,A,"标准答案：A
出处：押题1.pdf
解析：本证为肾虚泄，治宜补肾壮阳，健脾固涩。⽅药可采⽤四神丸合四君⼦汤加减。或针治后海、后三
⾥、尾根、百会、脾俞等⽳。
（78～79题共⽤题⼲）
⽜怀孕6个⽉后只见阴门内经常排出腐臭带⽑的棕褐⾊污秽液体，精神沉郁，体温偏⾼，机体逐渐消
瘦，直肠检查⼦宫温⾼，不见胎动和⼦宫中动脉动，⽆⼦叶和胎⽔，仅有长短不⼀⾻⽚，卵巢上有
黄体。"
临床科目,可诊断为（ ）。,胎⼉浸溶,习惯性流产,胎⼉⼲⼫化,隐性流产,先兆性流产,A,"标准答案：A
出处：押题1.pdf
解析：胎⼉死亡后，由于⼦宫阵缩微弱，⼦宫颈管不开张或开张不⾜，胎⼉死亡后长期停留于⼦宫内，称
为延期流产；根据宫颈是否开张，可分为胎⼉⼲⼫化和胎⼉浸溶两种。其中患胎⼉浸溶的母⽜阴门
可流出红褐⾊或棕褐⾊难闻的黏稠液体，其中可带有⼩的⾻⽚、⽑发等，后期则仅排出脓液。根据
该⽜的症状、体征，考虑诊断为胎⼉浸溶。"
临床科目,应怎样处理？（ ）,控制全⾝和局部感染后⼿术取出胎⾻,⽴即剖腹取胎⾻,注射黄体酮,⾃⾏排出,催产素引产,A,"标准答案：A
出处：押题1.pdf
解析：若胎⼉浸溶、软组织基本液化，必须尽⼒将胎⾻逐块取净。取出⼲⼫化及浸溶胎⼉后，⽤消毒液或
5%～10%⽣理盐⽔抗⽣素液冲洗⼦宫；应⽤⼦宫收缩药，促使液体排出。在⼦宫内放⼊抗⽣素，并
重视全⾝对症治疗。
（80～82题共⽤题⼲）
已产四胎的⾼产奶⽜，分娩后⼀天突然发⽣全⾝肌⾁震颤、但很快出现全⾝肌⾁松弛⽆⼒、四肢瘫
痪、四肢位于腹下，头向后弯于胸侧，神志昏迷，各种感觉反射降低或丧失、体温降低，⼼跳快
弱。"
临床科目,初步诊断该⽜最可能发⽣的疾病是（ ）。,分娩时损伤⾻盆神经或韧带,酮⾎病,⽣产瘫痪,⼼⼒衰竭,产后截瘫,C,"标准答案：C
出处：押题1.pdf
解析：A项，该⽜各种感觉反射降低或丧失，不⽀持分娩时损伤⾻盆神经或韧带的诊断；B项，酮⾎病有多
胎或胎⼉过⼤史，临诊特征为低⾎糖和⾼⾎酮，⾎液总蛋⽩减少，尿丙酮呈强阳性反应；C项，除后
肢不能站⽴以外，⽣产瘫痪的病⽜还出现惊慌、哞叫、⽬光凝视等兴奋，或精神沉郁，不愿⾛动，
站⽴不稳，四肢肌⾁颤动等症状；D项，急性⼼⼒衰竭时多伴有呼吸困难等症状；E项，产后截瘫的
病⽜除后肢不能站⽴以外，其他情况如精神、⾷欲、体温、各种反射、粪尿等均⽆异常。"
临床科目,分析其发⽣的主要病因是（ ）。,缺镁,损伤,中毒,低⾎钙,脱⽔化合物和脂肪代谢障碍,D,"标准答案：D
出处：押题1.pdf
解析：分娩前后⼤量⾎钙进⼊初乳且动⽤⾻钙的能⼒降低，以及从肠道吸收的钙量减少，导致⾎钙浓度剧
烈降低，是⽣产瘫痪发⽣的主要原因。"
临床科目,治疗该病的特效⽅法是（ ）。,补充维⽣素,抗菌消炎,静脉补充⾜够的钙,强⼼,补充葡萄糖,C,"标准答案：C
出处：押题1.pdf
解析：静脉注射钙剂或乳房送风是治疗⽣产瘫痪最有效的常⽤疗法，治疗越早，疗效越⾼。
（83～85题共⽤题⼲）
腊肠⽝，5⽉龄，体温37.6℃，排少量黏液样柏油状粪便，呕吐，腹部触诊有“⾹肠”状物体。"
临床科目,确诊该病宜选⽤的⽅法是（ ）。,腹部听诊,⾎常规检查,X线造影,粪便常规检查,腹部叩诊,C,"标准答案：C
出处：押题1.pdf
解析：根据该⽝的症状、体征，考虑肠道疾病可能性⼤，为进⼀步确诊应进⾏X线造影。造影检查是将X线
造影剂引⼊被检器官的内腔或周围，形成密度差异，以显⽰被检器官内腔或外形影像⽽进⾏诊断的
⽅法。通过X线造影检查，直观地了解肠道病变部位，寻找病因，以便疾病的诊治。"
临床科目,回肠套叠且施⾏肠切除术过程中，操作⽅法正确的有（ ）。,在横结肠与空肠之间切除肠管,切前先结扎通向套叠肠管的⾎管,垂直肠管纵轴切除病变肠管,切前先结扎通向切除肠管的⾎管,在病变肠管的边缘切除肠管,C,"标准答案：C
出处：押题1.pdf
解析：A项，切除的肠断为病变肠管，⽆关⽣理解剖位置；BD两项，病变肠管切除前，⾏双重结扎肠系膜
⾎管。E项，切除边缘为健康肠管外1cm处。"
临床科目,回肠近⼼端⼤部分被切除时，应采⽤合理的肠吻合⽅法为（ ）。,两断端仅做⼀层连续缝合,端端吻合术，后壁连续缝合,两断端仅做⼀层压挤缝合,端端吻合术，前壁连续缝合,回肠与横结肠吻合术,C,"标准答案：C
出处：押题1.pdf
解析：压挤缝合是⼀种适⽤于肠管吻合的单层间断缝合法。如⽤于⽝、猫肠管吻合效果良好，也可⽤于⼤
动物的肠管吻合。该缝合⽅法的效果是浆膜、肌层相对接，黏膜、黏膜下层内翻，肠组织本⾝的相
互压挤，能良好地防⽌液体泄露，保持肠管吻合的密切对接和正常的肠腔容积。
（86～87题共⽤题⼲）
2岁黄⽜，发病5天，精神沉郁，⾷欲降低，反刍和咀嚼减少，体温升⾼。呼吸困难，流黏脓性⿐
液，咳嗽，胸中下部听诊有捻发⾳、肺泡呼吸⾳减弱、⼼率加快，叩诊有局灶性浊⾳区。"
临床科目,本病最可能的诊断是（ ）。,胸膜炎,⼤叶性肺炎,⽀⽓管肺炎,胸腔积脓,肺脓肿,C,"标准答案：C
出处：押题1.pdf"
临床科目,病⽜的热型是（ ）。,弛张热,不定型热,回归热,波状热,稽留热,A,"标准答案：A
出处：押题1.pdf
解析：⽀⽓管肺炎临诊表现为弛张热，呼吸增数，叩诊有局灶浊⾳区，听诊有捻发⾳。病初呈现急性⽀⽓
管炎的症状；病猪表现精神沉郁，⾷欲减退或废绝，体温升⾼，呈现弛张热型，有时为间歇热；脉
搏随体温变化⽽变化；咳嗽、流浆液性、黏液性或脓性⿐液，呼吸困难；胸部听诊，病灶部位肺泡
呼吸⾳减弱，可听到捻发⾳。"
